course_id,subject,course_number,prereq_subject,prereq_number
122024,STAT,135,STAT,134
122024,STAT,135,STAT,140
122024,STAT,135,MATH,54
122024,STAT,135,STAT,89A
122024,STAT,135,MATH,110
122024,STAT,135,STAT,133
122026,STAT,151A,STAT,135
122026,STAT,151A,STAT,133
122030,STAT,154,STAT,C140
122030,STAT,154,COMPSCI,C100
122042,STAT,20,MATH,1A
122042,STAT,20,MATH,16A
122042,STAT,20,MATH,10A
122042,STAT,20,MATH,10B
122042,STAT,20,MATH,51
122228,THEATER,109,THEATER,10
122230,THEATER,110A,THEATER,10
122230,THEATER,110A,THEATER,109
122232,THEATER,111,THEATER,10
122232,THEATER,111,THEATER,109
122232,THEATER,111,THEATER,110A
122232,THEATER,111,THEATER,110B
122266,THEATER,146A,THEATER,144
122266,THEATER,146A,THEATER,148
122286,THEATER,168,THEATER,60
122286,THEATER,168,THEATER,168
122290,THEATER,172,THEATER,60
122482,UGBA,101A,ECON,1
122482,UGBA,101A,ECON,51
122482,UGBA,101A,ECON,16A
122483,UGBA,101B,ECON,1
122483,UGBA,101B,ECON,16A
122500,UGBA,120AB,UGBA,102A
122500,UGBA,120AB,UGBA,120AA
122541,UGBA,180,ECON,1
122541,UGBA,180,ECON,1A
158405,UGBA,88,MATH,16A
158405,UGBA,88,MATH,51
161888,UKRAINI,100,UKRAINI,1B
109478,URDU,100A,URDU,1A
109478,URDU,100A,URDU,1B
109478,URDU,100A,URDU,2B
122976,XHISTAR,R1B,ENGLISH,1A
122976,XHISTAR,R1B,ENGLISH,5
122976,XHISTAR,R1B,ENGLISH,6
122976,XHISTAR,R1B,ENGLISH,7
157148,XMATH,10A,MATH,98
157148,XMATH,10A,MATH,10A
122984,XMATH,51,MATH,32
122985,XMATH,52,MATH,1B
122985,XMATH,52,MATH,N1B
